,name,age,sex,handedness,experiment,list,sentence,taskQuestion,trigger,expectedAnswer,participantAnswer,answer,word1,word2,word3,word4,word5,word6,word7,12,13,14,15,16,17,18
0,First Last,21,Female,100,Egyptian,1,كل باريستا محترف يدرب الموظفين قبل الأفتتاح,,3,,,,,,,,,,,0.15259579999838024,0.1507454999955371,0.14775370003189892,0.1511869999812916,0.1495419000275433,0.15164779999759048,0.49698160006664693
1,First Last,21,Female,100,Egyptian,1,كل طباخ محترف يطور مساعدينه بعد التقييم,,4,,,,,,,,,,,0.14615769998636097,0.1514465999789536,0.15125049999915063,0.14514939999207854,0.1453277999535203,0.15176299994345754,0.5033496000105515
2,First Last,21,Female,100,Egyptian,1,كل دكتور يخطء يعاتب الممرضين بعد العمليات,,5,,,,,,,,,,,0.15187479997985065,0.15100600000005215,0.14601960009895265,0.1495008000638336,0.14795060001779348,0.15215920004993677,0.5021474999375641
3,First Last,21,Female,100,Egyptian,1,كل سواق يديد يطمن المشرف قبل الأمتحان,,6,,,,,,,,,,,0.15079529990907758,0.1514524999074638,0.15144169994164258,0.14824110001791269,0.14911040000151843,0.1516752999741584,0.4992236999096349
4,First Last,21,Female,100,Egyptian,1,كل ياهل صغير يأكل القطوه في الحضانه,,7,,,,,,,,,,,0.1445252998964861,0.15057130006607622,0.1506350999698043,0.1519191999686882,0.14932020008563995,0.15226429991889745,0.498687099898234
5,First Last,21,Female,100,Egyptian,1,كل رياضي مهتم يجهز فريقه قبل المسابقة,,8,,,,,,,,,,,0.1463925999123603,0.15072449995204806,0.14919619995635003,0.15210589999333024,0.14794040005654097,0.1518828000407666,0.5004665999440476
6,First Last,21,Female,100,Egyptian,1,كل متدرب شغوف يعلم زملائه عشان الأختبار,,9,,,,,,,,,,,0.1447080000070855,0.15112310007680207,0.14781889994628727,0.1492007999913767,0.14785540010780096,0.1479033000068739,0.49778660002630204
7,First Last,21,Female,100,Egyptian,1,كل شيبه حكيم يثقف الشباب من التجارب,,10,,,,,,,,,,,0.14483000000473112,0.15010810003150254,0.15165949997026473,0.14661100006196648,0.14707890001591295,0.1514711999334395,0.5015178000321612
8,First Last,21,Female,100,Egyptian,1,كل شخص خواف يقنع صديقة قبل التجربة,,11,,,,,,,,,,,0.14975219999905676,0.15009320003446192,0.14698680001311004,0.14610549993813038,0.1495551000116393,0.15169239998795092,0.49617140006739646
9,First Last,21,Female,100,Egyptian,1,كل متسلق خبير يحمي زميله قبل التسلق,,12,,,,,,,,,,,0.14456970000173897,0.15067520004231483,0.14912750001531094,0.14914220001082867,0.15145080001093447,0.15087629994377494,0.5012731000315398
10,First Last,21,Female,100,Egyptian,1,كل مذيع شاطر يكلم المخرج قبل الأذاعة,,1,,,,,,,,,,,0.15143530000932515,0.15063649998046458,0.14669389999471605,0.15120810002554208,0.1453600999666378,0.1505686000455171,0.4985051000257954
11,First Last,21,Female,100,Egyptian,1,كل موظف ناجح يلزم فريقه على النجاح,,2,,,,,,,,,,,0.14470790000632405,0.1508198999799788,0.14796689990907907,0.14764949993696064,0.1477188999997452,0.15179689996875823,0.49545159994158894
12,First Last,21,Female,100,Egyptian,1,كل اب غايب يلوم حرمته على الغياب,,3,,,,,,,,,,,0.14634830004069954,0.15085340000223368,0.1478722000028938,0.15044620004482567,0.15245449997019023,0.1517399000003934,0.4998971000313759
13,First Last,21,Female,100,Egyptian,1,كل ممرض منتبه ينظف مريضه بين الشفتات,,4,,,,,,,,,,,0.14675049996003509,0.1501409999327734,0.14666060009039938,0.15149309998378158,0.15135719999670982,0.15157680003903806,0.5019448000239208
14,First Last,21,Female,100,Egyptian,1,المدرس المضغوط يهدي الطلاب بعد الامتحانات,,5,,,,,,,,,,,0.15029180003330112,0.1505202999105677,0.151025400031358,0.14820830000098795,0.15077200008090585,0.49784440000075847,
15,First Last,21,Female,100,Egyptian,1,كل مدير مهموم يهلك موظفينه في الدوام,,6,,,,,,,,,,,0.15215350000653416,0.15039889991749078,0.14955229999031872,0.15133779996540397,0.14425699994899333,0.1520482999039814,0.5017718999879435
16,First Last,21,Female,100,Egyptian,1,كل ولد غلطان يسامح اهله بعد العقاب,,7,,,,,,,,,,,0.14739460009150207,0.15039419999811798,0.14453920000232756,0.14922779996413738,0.14987920003477484,0.15166149998549372,0.5021075999829918
